Timestamp,EpisodeId,AgentName,AgentType,WinResult,FinalHP,InitialHP,BattleDuration,TotalActions,AverageExecutionTime,EnemyAgentName,AttackAttempts,AttackSuccesses,DefenseAttempts,DefenseSuccesses,DodgeAttempts,DodgeSuccesses,AttackSuccessRate,DefenseSuccessRate,DodgeSuccessRate,CumulativeRounds,CumulativeWins,WinPercentage
2025-06-09 16:48:50,EP_20250609_164835_0001,공격형 AI,Unknown,1.0,40.0,100.0,14.38,291,0.04,수비형 AI,97,6,193,2,1,1,0.062,0.010,1.000,1,1,100.0
2025-06-09 16:48:50,EP_20250609_164835_0001,수비형 AI,Unknown,0.0,0.0,100.0,14.38,454,0.09,공격형 AI,308,5,6,6,140,2,0.016,1.000,0.014,1,0,0.0
2025-06-09 16:49:04,EP_20250609_164852_0002,공격형 AI,Unknown,1.0,60.0,100.0,11.60,65,0.04,수비형 AI,65,5,0,0,0,0,0.077,0.000,0.000,2,2,100.0
2025-06-09 16:49:04,EP_20250609_164852_0002,수비형 AI,Unknown,0.0,0.0,100.0,11.60,483,0.09,공격형 AI,338,4,5,5,140,1,0.012,1.000,0.007,2,0,0.0
2025-06-09 16:49:32,EP_20250609_164906_0003,공격형 AI,Unknown,0.0,0.0,100.0,25.30,553,0.01,수비형 AI,178,6,4,4,371,2,0.034,1.000,0.005,3,2,66.7
2025-06-09 16:49:32,EP_20250609_164906_0003,수비형 AI,Unknown,1.0,20.0,100.0,25.30,725,0.09,공격형 AI,603,6,6,6,116,2,0.010,1.000,0.017,3,1,33.3
2025-06-09 16:49:56,EP_20250609_164934_0004,공격형 AI,Unknown,1.0,20.0,100.0,22.20,921,0.03,수비형 AI,621,6,88,4,212,3,0.010,0.045,0.014,4,3,75.0
2025-06-09 16:49:56,EP_20250609_164934_0004,수비형 AI,Unknown,0.0,0.0,100.0,22.20,1031,0.08,공격형 AI,907,6,8,8,116,3,0.007,1.000,0.026,4,1,25.0
2025-06-09 16:50:12,EP_20250609_164959_0005,공격형 AI,Unknown,0.0,0.0,100.0,12.77,313,0.01,수비형 AI,117,5,3,3,193,1,0.043,1.000,0.005,5,3,60.0
2025-06-09 16:50:12,EP_20250609_164959_0005,수비형 AI,Unknown,1.0,20.0,100.0,12.77,468,0.10,공격형 AI,334,5,5,5,129,2,0.015,1.000,0.016,5,2,40.0
2025-06-09 16:50:29,EP_20250609_165014_0006,공격형 AI,Unknown,0.0,0.0,100.0,14.94,302,0.01,수비형 AI,97,5,3,3,202,1,0.052,1.000,0.005,6,3,50.0
2025-06-09 16:50:29,EP_20250609_165014_0006,수비형 AI,Unknown,1.0,20.0,100.0,14.94,476,0.09,공격형 AI,351,5,5,5,120,2,0.014,1.000,0.017,6,3,50.0
2025-06-09 16:50:57,EP_20250609_165031_0007,공격형 AI,Unknown,1.0,20.0,100.0,25.94,631,0.05,수비형 AI,419,6,210,4,2,2,0.014,0.019,1.000,7,4,57.1
2025-06-09 16:50:57,EP_20250609_165031_0007,수비형 AI,Unknown,0.0,0.0,100.0,25.94,658,0.09,공격형 AI,548,6,8,8,102,3,0.011,1.000,0.029,7,3,42.9
2025-06-09 16:51:16,EP_20250609_165100_0008,공격형 AI,Unknown,0.0,0.0,100.0,15.88,684,0.01,수비형 AI,168,5,361,3,155,2,0.030,0.008,0.013,8,4,50.0
2025-06-09 16:51:16,EP_20250609_165100_0008,수비형 AI,Unknown,1.0,20.0,100.0,15.88,843,0.08,공격형 AI,604,5,5,5,234,2,0.008,1.000,0.009,8,4,50.0
2025-06-09 16:51:40,EP_20250609_165118_0009,공격형 AI,Unknown,1.0,40.0,100.0,22.19,639,0.03,수비형 AI,245,7,3,3,391,2,0.029,1.000,0.005,9,5,55.6
2025-06-09 16:51:40,EP_20250609_165118_0009,수비형 AI,Unknown,0.0,0.0,100.0,22.19,672,0.09,공격형 AI,544,6,7,7,121,3,0.011,1.000,0.025,9,4,44.4
2025-06-09 16:52:43,EP_20250609_165143_0010,공격형 AI,Unknown,0.0,40.0,100.0,60.00,357,0.02,수비형 AI,145,6,210,3,2,2,0.041,0.014,1.000,10,5,50.0
2025-06-09 16:52:43,EP_20250609_165143_0010,수비형 AI,Unknown,0.0,20.0,100.0,60.00,509,0.09,공격형 AI,353,6,7,7,149,2,0.017,1.000,0.013,10,4,40.0
2025-06-09 16:53:01,EP_20250609_165246_0011,공격형 AI,Unknown,1.0,40.0,100.0,15.08,450,0.07,수비형 AI,302,6,2,2,146,1,0.020,1.000,0.007,11,6,54.5
