Timestamp,EpisodeId,AgentName,AgentType,WinResult,FinalHP,InitialHP,BattleDuration,TotalActions,AverageExecutionTime,EnemyAgentName,AttackAttempts,AttackSuccesses,DefenseAttempts,DefenseSuccesses,DodgeAttempts,DodgeSuccesses,AttackSuccessRate,DefenseSuccessRate,DodgeSuccessRate,CumulativeRounds,CumulativeWins,WinPercentage
2025-06-09 16:28:14,EP_20250609_162758_0001,공격형 AI,Unknown,0.0,0.0,100.0,15.38,311,0.02,수비형 AI,104,6,205,3,2,2,0.058,0.015,1.000,1,0,0.0
2025-06-09 16:28:14,EP_20250609_162758_0001,수비형 AI,Unknown,1.0,40.0,100.0,15.38,495,0.08,공격형 AI,375,6,6,6,114,2,0.016,1.000,0.018,1,1,100.0
2025-06-09 16:28:36,EP_20250609_162816_0002,공격형 AI,Unknown,0.0,0.0,100.0,19.72,726,0.01,수비형 AI,280,7,303,5,143,3,0.025,0.017,0.021,2,0,0.0
2025-06-09 16:28:36,EP_20250609_162816_0002,수비형 AI,Unknown,1.0,20.0,100.0,19.72,1119,0.04,공격형 AI,719,7,183,7,217,3,0.010,0.038,0.014,2,2,100.0
2025-06-09 16:29:02,EP_20250609_162838_0003,공격형 AI,Unknown,0.0,0.0,100.0,23.36,805,0.04,수비형 AI,420,7,190,5,195,3,0.017,0.026,0.015,3,0,0.0
2025-06-09 16:29:02,EP_20250609_162838_0003,수비형 AI,Unknown,0.0,0.0,100.0,23.36,1208,0.07,공격형 AI,988,6,100,8,120,3,0.006,0.080,0.025,3,2,66.7
2025-06-09 16:29:46,EP_20250609_162904_0004,공격형 AI,Unknown,1.0,40.0,100.0,42.06,1277,0.02,수비형 AI,591,8,305,6,381,4,0.014,0.020,0.010,4,1,25.0
2025-06-09 16:29:46,EP_20250609_162904_0004,수비형 AI,Unknown,0.0,0.0,100.0,42.06,1593,0.07,공격형 AI,1283,6,185,10,125,4,0.005,0.054,0.032,4,2,50.0
2025-06-09 16:30:04,EP_20250609_162949_0005,공격형 AI,Unknown,1.0,20.0,100.0,14.96,387,0.01,수비형 AI,171,6,3,3,213,2,0.035,1.000,0.009,5,2,40.0
2025-06-09 16:30:04,EP_20250609_162949_0005,수비형 AI,Unknown,0.0,0.0,100.0,14.96,569,0.07,공격형 AI,434,5,8,6,127,2,0.012,0.750,0.016,5,2,40.0
2025-06-09 16:30:51,EP_20250609_163006_0006,공격형 AI,Unknown,0.0,0.0,100.0,44.72,625,0.05,수비형 AI,368,8,6,6,251,3,0.022,1.000,0.012,6,2,33.3
2025-06-09 16:30:51,EP_20250609_163006_0006,수비형 AI,Unknown,0.0,0.0,100.0,44.72,914,0.07,공격형 AI,723,8,43,10,148,4,0.011,0.233,0.027,6,2,33.3
2025-06-09 16:31:09,EP_20250609_163054_0007,공격형 AI,Unknown,1.0,20.0,100.0,15.64,583,0.06,수비형 AI,373,5,3,3,207,2,0.013,1.000,0.010,7,3,42.9
2025-06-09 16:31:09,EP_20250609_163054_0007,수비형 AI,Unknown,0.0,0.0,100.0,15.64,816,0.08,공격형 AI,659,5,5,5,152,2,0.008,1.000,0.013,7,2,28.6
2025-06-09 16:31:28,EP_20250609_163112_0008,공격형 AI,Unknown,1.0,40.0,100.0,16.00,603,0.05,수비형 AI,396,6,205,3,2,2,0.015,0.015,1.000,8,4,50.0
2025-06-09 16:31:28,EP_20250609_163112_0008,수비형 AI,Unknown,0.0,0.0,100.0,16.00,679,0.06,공격형 AI,528,5,17,6,134,2,0.009,0.353,0.015,8,2,25.0
2025-06-09 16:31:57,EP_20250609_163130_0009,공격형 AI,Unknown,1.0,40.0,100.0,26.56,642,0.01,수비형 AI,244,6,4,4,394,2,0.025,1.000,0.005,9,5,55.6
2025-06-09 16:31:57,EP_20250609_163130_0009,수비형 AI,Unknown,0.0,0.0,100.0,26.56,763,0.08,공격형 AI,623,4,7,7,133,2,0.006,1.000,0.015,9,2,22.2
2025-06-09 16:32:18,EP_20250609_163159_0010,공격형 AI,Unknown,0.0,0.0,100.0,18.56,452,0.01,수비형 AI,235,7,215,4,2,2,0.030,0.019,1.000,10,5,50.0
2025-06-09 16:32:18,EP_20250609_163159_0010,수비형 AI,Unknown,1.0,20.0,100.0,18.56,747,0.10,공격형 AI,605,7,7,7,135,3,0.012,1.000,0.022,10,3,30.0
2025-06-09 16:33:20,EP_20250609_163220_0011,공격형 AI,Unknown,0.0,40.0,100.0,60.00,377,0.00,수비형 AI,71,3,253,2,53,1,0.042,0.008,0.019,11,5,45.5
2025-06-09 16:33:20,EP_20250609_163220_0011,수비형 AI,Unknown,0.0,60.0,100.0,60.00,137,0.11,공격형 AI,133,3,4,4,0,0,0.023,1.000,0.000,11,3,27.3
2025-06-09 16:33:51,EP_20250609_163323_0012,공격형 AI,Unknown,1.0,20.0,100.0,27.99,1142,0.04,수비형 AI,627,8,217,6,298,3,0.013,0.028,0.010,12,6,50.0
2025-06-09 16:33:51,EP_20250609_163323_0012,수비형 AI,Unknown,0.0,0.0,100.0,27.99,1980,0.04,공격형 AI,1484,8,179,9,317,4,0.005,0.050,0.013,12,3,25.0
2025-06-09 16:34:05,EP_20250609_163353_0013,공격형 AI,Unknown,1.0,40.0,100.0,11.46,323,0.01,수비형 AI,101,5,221,1,1,1,0.050,0.005,1.000,13,7,53.8
2025-06-09 16:34:05,EP_20250609_163353_0013,수비형 AI,Unknown,0.0,0.0,100.0,11.46,462,0.09,공격형 AI,336,4,5,5,121,1,0.012,1.000,0.008,13,3,23.1
2025-06-09 16:34:20,EP_20250609_163407_0014,공격형 AI,Unknown,1.0,60.0,100.0,11.63,72,0.04,수비형 AI,72,5,0,0,0,0,0.069,0.000,0.000,14,8,57.1
2025-06-09 16:34:20,EP_20250609_163407_0014,수비형 AI,Unknown,0.0,0.0,100.0,11.63,480,0.08,공격형 AI,334,4,5,5,141,1,0.012,1.000,0.007,14,3,21.4
2025-06-09 16:34:34,EP_20250609_163422_0015,공격형 AI,Unknown,1.0,40.0,100.0,11.71,35,0.09,수비형 AI,15,5,19,1,1,1,0.333,0.053,1.000,15,9,60.0
2025-06-09 16:34:34,EP_20250609_163422_0015,수비형 AI,Unknown,0.0,0.0,100.0,11.71,53,0.11,공격형 AI,34,4,5,5,14,1,0.118,1.000,0.071,15,3,20.0
2025-06-09 16:34:53,EP_20250609_163437_0016,공격형 AI,Unknown,0.0,0.0,100.0,16.61,46,0.09,수비형 AI,21,6,23,4,2,2,0.286,0.174,1.000,16,9,56.3
